age_group,income_group,city_tier,purchase_frequency,preowned_willingness,auth_importance,discount_threshold,trust_score,max_spend,luxe_loop_interest
35-44,1L-2L,Tier 2,Frequently,Definitely,Low,20-40%,3.43,233251,1
25-34,2L+,Tier 1,Occasionally,No,Low,10-20%,3.19,300000,1
25-34,50K-1L,Tier 3,Never,Maybe,Low,10-20%,1.93,194237,1
35-44,2L+,Tier 3,Never,No,Medium,10-20%,2.56,274359,1
45+,2L+,Tier 2,Rarely,Maybe,Medium,40%+,3.38,300000,1
25-34,25-50K,Tier 1,Frequently,Maybe,Low,40%+,2.99,122569,0
25-34,50K-1L,Tier 3,Never,No,Medium,40%+,4.95,165422,1
35-44,50K-1L,Tier 1,Occasionally,No,High,0%,1.55,147010,0
45+,50K-1L,Tier 3,Never,Maybe,Low,0%,3.78,219057,1
35-44,2L+,Tier 2,Never,No,Medium,20-40%,2.62,270720,1
25-34,1L-2L,Tier 2,Rarely,Maybe,Low,10-20%,2.71,222232,0
35-44,50K-1L,Tier 1,Occasionally,No,Low,10-20%,3.87,182703,1
35-44,2L+,Tier 2,Occasionally,Definitely,Medium,40%+,3.77,300000,1
35-44,25-50K,Tier 3,Frequently,Maybe,High,0%,4.97,182219,0
45+,1L-2L,Tier 2,Occasionally,Definitely,Low,10-20%,1.51,259475,1
35-44,25-50K,Tier 3,Never,No,High,20-40%,1.42,111019,0
25-34,1L-2L,Tier 3,Occasionally,Definitely,Medium,10-20%,3.9,244912,1
35-44,2L+,Tier 2,Occasionally,No,Low,40%+,3.31,252767,1
45+,<25K,Tier 3,Never,Maybe,Medium,40%+,2.1,100538,0
18-24,1L-2L,Tier 3,Rarely,No,Medium,0%,1.32,189844,1
45+,25-50K,Tier 1,Frequently,No,Medium,20-40%,1.34,117735,0
35-44,2L+,Tier 1,Frequently,Maybe,Medium,20-40%,4.58,273853,1
18-24,1L-2L,Tier 1,Rarely,No,Low,10-20%,1.77,205922,0
35-44,<25K,Tier 2,Never,Maybe,High,20-40%,2.29,56154,0
45+,<25K,Tier 1,Frequently,No,High,10-20%,1.91,56942,0
18-24,50K-1L,Tier 3,Rarely,Maybe,Low,10-20%,2.42,163417,1
18-24,50K-1L,Tier 2,Rarely,Definitely,Low,0%,1.28,151834,0
35-44,25-50K,Tier 2,Rarely,No,High,20-40%,3.08,147466,1
35-44,1L-2L,Tier 2,Frequently,No,High,40%+,1.27,190602,1
45+,1L-2L,Tier 2,Frequently,No,Low,10-20%,4.2,246410,1
35-44,50K-1L,Tier 3,Frequently,Maybe,Medium,10-20%,1.93,193659,1
18-24,1L-2L,Tier 3,Frequently,No,Low,10-20%,3.16,221336,1
25-34,1L-2L,Tier 1,Occasionally,Maybe,High,20-40%,4.52,230841,1
25-34,<25K,Tier 2,Rarely,No,Medium,20-40%,3.6,81389,0
45+,50K-1L,Tier 1,Occasionally,Definitely,High,20-40%,3.13,204894,1
35-44,2L+,Tier 3,Rarely,No,Medium,10-20%,2.3,276882,1
45+,50K-1L,Tier 2,Frequently,Definitely,High,40%+,2.33,162675,0
25-34,2L+,Tier 3,Frequently,Maybe,Medium,40%+,3.68,296477,1
25-34,<25K,Tier 1,Occasionally,Definitely,Low,20-40%,4.98,77754,0
35-44,25-50K,Tier 3,Never,No,Low,40%+,3.65,150127,0
18-24,1L-2L,Tier 2,Frequently,No,Medium,10-20%,3.23,240472,1
35-44,<25K,Tier 2,Never,Maybe,Medium,20-40%,3.92,83043,0
25-34,1L-2L,Tier 1,Rarely,No,Low,20-40%,2.86,211828,1
18-24,25-50K,Tier 2,Occasionally,No,Low,10-20%,1.24,94666,0
45+,25-50K,Tier 3,Never,Maybe,Medium,20-40%,3.25,143196,0
25-34,<25K,Tier 3,Never,Maybe,Medium,10-20%,4.83,122879,0
45+,25-50K,Tier 3,Frequently,Definitely,Low,20-40%,1.7,104253,1
18-24,2L+,Tier 3,Never,Maybe,High,40%+,3.76,296767,1
45+,25-50K,Tier 1,Never,No,Low,20-40%,1.8,76259,0
25-34,1L-2L,Tier 3,Rarely,Maybe,Medium,20-40%,3.14,219707,1
35-44,1L-2L,Tier 1,Occasionally,No,Medium,20-40%,1.39,213278,1
45+,1L-2L,Tier 3,Frequently,Definitely,High,0%,2.8,209806,1
25-34,1L-2L,Tier 1,Frequently,Maybe,Low,40%+,4.02,221469,1
25-34,2L+,Tier 3,Never,No,Medium,10-20%,2.39,260544,1
18-24,50K-1L,Tier 3,Rarely,Maybe,Low,0%,3.66,192443,1
25-34,<25K,Tier 1,Never,Maybe,Medium,40%+,4.18,88053,1
